timestep,pX,pY,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y
86,1.4,1.9132591485646988,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.032798619539413536,-0.08669912780625115,-0.08669912780625115,-0.05574110508715585,0.0,0.0,0.0
87,1.4,1.9122690712773507,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.0337885977544389,-0.08768829751365251,-0.08768829751365251,-0.05673073916489799,0.0,0.0,0.0
88,1.4,1.9112792618649104,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.034778299181810794,-0.08867719044552802,-0.08867719044552802,-0.05772009646014874,0.0,0.0,0.0
89,1.4,1.910289724283669,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.035767719867729336,-0.08966580264807761,-0.08966580264807761,-0.0587091730191081,0.0,0.0,0.0
90,1.4,1.9093004624887864,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.03675685585956105,-0.09065413016866762,-0.09065413016866762,-0.05969796488914255,0.0,0.0,0.0
91,1.4,1.9083114804342765,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.037745703205854714,-0.09164216905584664,-0.09164216905584664,-0.06068646811880077,0.0,0.0,0.0
92,1.4,1.90732278207299,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.03873425795635709,-0.09262991535936127,-0.09262991535936127,-0.06167467875782945,0.0,0.0,0.0
93,1.4,1.9063343713566,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.03972251616202878,-0.09361736513017191,-0.09361736513017191,-0.06266259285718911,0.0,0.0,0.0
94,1.4,1.9053462522355855,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.040710473875059945,-0.09460451442046855,-0.09460451442046855,-0.06365020646906985,0.0,0.0,0.0
95,1.4,1.9043584286592148,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.041698127148886134,-0.09559135928368656,-0.09559135928368656,-0.06463751564690713,0.0,0.0,0.0
96,1.4,1.9033709045755318,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.04268547203820403,-0.09657789577452244,-0.09657789577452244,-0.06562451644539756,0.0,0.0,0.0
97,1.4,1.902383683931338,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.04367250459898723,-0.09756411994894959,-0.09756411994894959,-0.06661120492051464,0.0,0.0,0.0
98,1.4,1.9013967706721784,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.04465922088850198,-0.09855002786423409,-0.09855002786423409,-0.06759757712952458,0.0,0.0,0.0
99,1.4,1.9004101687423247,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.04564561696532297,-0.09953561557895044,-0.09953561557895044,-0.06858362913100195,0.0,0.0,0.0
